uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
4116afd8-7bf8-4645-bddf-5d7c08b1cd8c,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,31_400,2017-05-01,2017-05-01,2017,400,389,97.25,,20240104T224934Z,RELEASE-2024
5072161f-48e0-4cd8-82b0-3a96b0c82a10,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,31_400,2017-05-01,2017-05-01,2017,400,86,21.5,,20240104T224934Z,RELEASE-2024
211fb23a-00ea-48cc-9458-3151253ecf69,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,31_400,2017-05-01,2017-05-01,2017,400,376,94,,20240104T224934Z,RELEASE-2024
fe90c584-fcf1-4ada-a568-af488abbe48b,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,31_400,2017-05-01,2017-05-01,2017,400,71,17.75,,20240104T224934Z,RELEASE-2024
721d331e-3490-4413-9853-a644d71b2567,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,31_400,2017-05-01,2017-05-01,2017,400,345,86.25,,20240104T224934Z,RELEASE-2024
b0d6fb5f-4554-4d83-a248-acd3630180ef,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,31_400,2017-05-01,2017-05-01,2017,400,400,100,,20240104T224934Z,RELEASE-2024
07dc9066-3b78-4f45-8bf8-c27992898e15,CLBJ_024.basePlot.ltr,D11,CLBJ,CLBJ_024,31_400,2017-05-01,2017-05-01,2017,400,30,7.5,,20240104T224934Z,RELEASE-2024
581a49f0-2b04-4be1-b230-f12ff84f17bb,CLBJ_019.basePlot.ltr,D11,CLBJ,CLBJ_019,31_400,2017-05-01,2017-05-01,2017,400,19,4.75,,20240104T224934Z,RELEASE-2024
084a95db-54a5-44db-941b-d72ee8578b18,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,31_400,2017-05-01,2017-05-01,2017,400,343,85.75,,20240104T224934Z,RELEASE-2024
4930e95a-9842-4ba2-a486-908ff4af1f2d,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,31_400,2017-05-01,2017-05-01,2017,400,276,69,,20240104T224934Z,RELEASE-2024
